,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
"If enabled, vacuum will only affect monsters targeting you. Will not affect animals.","If enabled, vacuum will only affect monsters targeting you. Will not affect animals.",启用后，吸附只会影响以你为目标的怪物，不会影响动物。,啟用後，吸附只會影響以你為目標的怪物，不會影響動物。,"Если эта функция включена, притягивание будет работать только на агрессивных мобов.","Jika aktif, vakum hanya memengaruhi monster yang agresif padamu. Hewan tidak termasuk.",
"If enabled, will directly teleport to entities that are beyond the set blink distance.","If enabled, will directly teleport to entities that are beyond the set blink distance.",启用后，将直接传送到超出设定闪现距离的实体。,啟用後，將直接傳送到超出設定閃現距離的實體。,"If enabled, will directly teleport to entities that are beyond the set blink distance.","Jika diaktifkan, akan langsung diteleportasi ke entitas yang berada di luar jarak blink yang ditentukan.",
"If not set, targeted blinking works by using blink without pressing any directional keys.
Setting this to a key overrides the behavior, now you have to press this key to do targeted blinking.","If not set, targeted blinking works by using blink without pressing any directional keys.
Setting this to a key overrides the behavior, now you have to press this key to do targeted blinking.","如果未设置，实体闪现通过使用闪现热键而不按任何方向键来工作。
设置此键会覆盖行为，您必须按下此键才能进行目标闪现。","如果未设置，实体闪现通过使用闪现热键而不按任何方向键来工作。
设置此键会覆盖行为，您必须按下此键才能进行目标闪现。","If not set, targeted blinking works by using blink without pressing any directional keys.
Setting this to a key overrides the behavior, now you have to press this key to do targeted blinking.","If not set, targeted blinking works by using blink without pressing any directional keys.
Setting this to a key overrides the behavior, now you have to press this key to do targeted blinking.",
"If set, allows player to do blink movement by pressing the hotkey.","If set, allows player to do blink movement by pressing the hotkey.",设置后，允许玩家通过按下热键来闪现。,設置後，允許玩家通過按下熱鍵來閃現。,"If set, allows player to do blink movement by pressing the hotkey.","Jika diatur, memungkinkan pemain untuk melakukan gerakan blink dengan menekan hotkey.",
"If successful, there will be no prompt. Please check your inventory.","If successful, there will be no prompt. Please check your inventory.",如果成功，不会有提示，请自行查看背包。,如果成功，不會有提示，請自行查看背包。,"На экране ничего не выскочит, если функция сработала успешно. Проверьте ваш инвентарь.","Jika berhasil, tak ada pemberitahuan yang masuk. Cek saja isi tasmu.",
"If teleport cannot get ground height of target location,
it will teleport you to the height specified here.
It is recommended to have this value to be at least as high as a mountain.
Otherwise, you may fall through the ground.","If teleport cannot get ground height of target location,
it will teleport you to the height specified here.
It is recommended to have this value to be at least as high as a mountain.
Otherwise, you may fall through the ground.","如果传送无法获取目标位置的地面高度，
会将您传送到此处指定的高度。
建议此值至少与山一样高，
否则，可能掉落到地下。","如果傳送無法獲取目標位置的地面高度，
會將您傳送到此處指定的高度。
建議此值至少與山一樣高，
否則，可能掉落到地下。","Если телепорт не может понять, где находится высота земли на указанной точке телепорта,
вас телепортирует на указанную вами высоту земли.
Рекомендуется выставлять значение как минимум выше гор.
В ином случае, вас возможно откинет под землю.","Jika teleportasi tidak bisa mendapatkan ketinggian lokasi target,
teleportasi akan menggunakan nilai ketinggian yang ditentukan di sini.
Direkomendasikan untuk menggunakan nilai setinggi gunung.
Supaya tidak jatuh ke permukaan.",
"If you don't use WASD for movement, enable this and set the directional keys you use.","If you don't use WASD for movement, enable this and set the directional keys you use.",如果您不使用 WASD 进行移动，请启用它并设置您使用的方向键。,如果您不使用 WASD 進行移動，請啟用它並設置您使用的方向鍵。,"If you don't use WASD for movement, enable this and set the directional keys you use.","Jika kamu tidak menggunakan tombol WASD untuk pergerakan, aktifkan ini dan atur tombol arah yang kamu gunakan.",
"Ignore the order of queue, teleport to the nearest position","Ignore the order of queue, teleport to the nearest position",忽略队列顺序，传送到最近的位置,忽略隊列順序，傳送到最近的位置,"Ignore the order of queue, teleport to the nearest position","Abaikan urutan antrian, langsung teleportasi ke posisi terdekat",
Illusion,Illusion,壁画,壁畫,Иллюзия,Ilusi,
Illusion Mural,Illusion Mural,神秘的壁画,神秘的壁畫,Загадочная фреска,Illusion Mural,
Immune the damage if it is lethal.,Immune the damage if it is lethal.,免疫致命伤。,免疫致命傷。,"Вы выживаете, если вам был нанесён смертельный удар.",Imun terhadap serangan jika itu fatal.,
In rock,In rock,岩封,岩封,В камне,Dalam batu,
In-completed point transparency,In-completed point transparency,未完成点透明度,未完成點透明度,Прозрачность незавершённой точки,Transparansi poin yang belum selesai,
In-completed points transparency.,In-completed points transparency.,未完成点透明度,未完成點透明度,Определяет прозрачность незавершённых точек на карте.,Transparansi poin yang belum selesai.,
In/Completed icon view,In/Completed icon view,未/已完成图标视图,未/已完成圖標視圖,Вид иконок (не)завершённых точек,"Tampilan ikon belum/telah selesai ",
Inazuma Shrine of Depths,Inazuma Shrine of Depths,稻妻地灵龛,稻妻地靈龕,Усыпальница глубин Инадзумы,Inazuma Shrine of Depths,
Include Animals,Include Animals,包括动物,包括動物,Животные,Termasuk Hewan,
Include Animals in vacuum.,Include Animals in vacuum.,生物吸附将包括动物,生物吸附將包括動物,Притягивать животных к себе.,Masukkan Hewan dalam vakum,
Include Monsters,Include Monsters,包括怪物,包括怪物,Монстры,Termasuk Monster,
Include monsters in vacuum.,Include monsters in vacuum.,生物吸附将包括怪物,生物吸附將包括怪物,Притягивать монстров к себе.,Masukkan monster dalam vakum,
Increase FOV,Increase FOV,增加FOV,增加FOV,Увеличить поле обзора,Naikkan FOV,
Inf. Stamina,Inf. Stamina,无限体力,無限體力,Бесконечная выносливость,Stamina Inf.,
Infinite Stamina,Infinite Stamina,无限体力,無限體力,Бесконечная выносливость,Stamina Tak Terbatas,
InfiniteStamina,InfiniteStamina,无限体力,無限體力,Бесконечная выносливость,InfiniteStamina,
Info Window,Info Window,信息窗口,信息視窗,"Окно ""Info""",Jendela Info,
InitObj,InitObj,初始化,初始化,InitObj,InitObj,
Inject an additional dll alongside the Bkebi dll.,Inject an additional dll alongside the Bkebi dll.,注入一个额外的Dll到Bkebi Dll中,注入一個額外的Dll到Bkebi Dll中,Подгрузите дополнительный DLL вместе с Bkebi.,Injek dll tambahan bersama Bkebi dll.,
Instant,Instant,瞬间,瞬間,Моментальный,Instan,
Instant Bow Charge,Instant Bow Charge,弓箭瞬间蓄力,弓箭瞬間蓄力,Момаентальная заряженная атака луком,Charge Bow Instan,
Instant Death Mode,Instant Death Mode,即死模式,即死模式,Режим Instant Death,Mode Mati Mendadak,
Instant Vacuum,Instant Vacuum,瞬间吸附,瞬間吸附,Моментальное притяжение,Vakum Instan,
Instant death mode,Instant death mode,即死模式,即死模式,Режим Instant Death,Mode mati mendadak,
Instantly destroys non-living objects within range.,Instantly destroys non-living objects within range.,自动摧毁范围内的 非生物 物体。,自動摧毀範圍內的 非生物 物體。,Моментально разрушает не живые объекты на определённом расстоянии.,Secara instan menghancurkan benda mati dalam jarak tertentu.,
Intelligent teleport,Intelligent teleport,智能传送,智能傳送,Intelligent teleport,Teleportasi Pintar,
Intelligent tp delay reduce,Intelligent tp delay reduce,智能降低传送延迟,智能降低傳送延遲,Intelligent tp delay reduce,Pengurangan delay teleportasi pintar,
Interaction Rewards,Interaction Rewards,交互奖励,互動獎勵,Награды за взаимодействие,Interaksi Berhadiah,
Interactive map,Interactive map,交互式地图,互動式地圖,Интерактивная карта,Map Interaktif,
InteractiveMap,InteractiveMap,交互式地图,互動式地圖,Интерактивная карта,InteractiveMap,
Interface Customization,Interface Customization,定制界面,定制界面,Редактор интерфейса,Kostumisasi Antarmuka,
Interpolate,Interpolate,插值,插值," Интерполировать",Interpolasi,
Interpolation Speed,Interpolation Speed,插值速度,插值速度,Скорость интерполяции,Kecepatan Interpolasi,
"Interpolation speed.
 recommended setting below or equal to 0.1.","Interpolation speed.
 recommended setting below or equal to 0.1.","插值速度。
 建议设置低于或等于0.1。","插值速度。
 建議設置低於或等於0.1。","Скорость Интерполяции.
 Рекомендуется ставить значение меньше или равно 0.1.","Kecepatan interpolasi.
 direkomendasikan diset dibawah atau sama dengan 0.1.",
Inu,Inu,狗,狗,Ину,Inu,
Inventory / Materials,Inventory / Materials,库存 / 材料,库存 / 材料,Инвентарь / Материалы,Tas / Material,
Investigates,Investigates,调查,調查,Исследовать,Investigasi,
Investigation,Investigation,考察日志,考察日誌,Исследовать,Investigasi,
Iron Chunk,Iron Chunk,铁矿,鐵礦,Обломок железа,Iron Chunk,
Iron Chunk Drop,Iron Chunk Drop,铁矿掉落,鐵礦掉落,Обломок железа,Iron Chunk Drop,
Iron Point,Iron Point,铁尖枪,鐵尖槍,Железный наконечник,Iron Point,
Iron Sting,Iron Sting,铁蜂刺,鐵蜂刺,Стальное жало,Iron Sting,
Item Drops,Item Drops,掉落道具,掉落道具,Упавшие вещи,Drop Item,
Item adjusting,Item adjusting,物品调整,物品調整,Регулировка предметов,Penyesuaian item,
Items,Items,道具,道具,Предметы,Item,
Itto,Itto,荒泷一斗,荒瀧一鬥,Итто,Itto,
JSON input,JSON input,JSON输入框,JSON輸入框,Ввод JSON,Input JSON,
Jade Chamber,Jade Chamber,群玉阁,群玉閣,Нефритовый дворец,Jade Chamber,
Jadeplume Terrorshroom,Jadeplume Terrorshroom,翠翎恐蕈,翠翎恐蕈,Пернатый плесенник,Jadeplume Terrorshroom,
Jean,Jean,琴,琴,Джинн,Jean,
Jean_GunnhildrsLegacy,Jean: Gunnhildr's Legacy,琴：古恩希尔德的传承,琴：古恩希爾德的傳承,Джинн: Наследие Гуннхильдр,Jean: Gunnhildr's Legacy,
Jean_SeaBreezeDandelion,Jean: Sea Breeze Dandelion,琴：海风之梦,琴：海風之夢,Джинн: Сон морского бриза,Jean: Sea Breeze Dandelion,
Jueyun Chili,Jueyun Chili,绝云椒椒,絕雲椒椒,Заоблачный перчик,Jueyun Chili,
Jump Boost,Jump Boost,超级跳,超級跳,Jump Boost,Peningkatan lompatan,
Kaedehara Kazuha,Kaedehara Kazuha,枫原万叶,楓原萬葉,Кадзуха,Kaedehara Kazuha,
Kaeya,Kaeya,凯亚,凱亞,Кэйа,Kaeya,
Kagotsurube Isshin,Kagotsurube Isshin,笼钓瓶一心,籠釣瓶一心,Кагоцурубэ Иссин,Kagotsurube Isshin,
Kagura's Verity,Kagura's Verity,神乐之真意,神樂之真意,Истина кагура,Kagura's Verity,
Kairagi,Kairagi,海乱鬼,海亂鬼,Кайраги,Kairagi,
Kalpalata Lotus,Kalpalata Lotus,劫波莲,劫波蓮,Лотус Кальпалата,Kalpalata Lotus,
Kamisato Ayaka,Kamisato Ayaka,神里绫华,神里綾華,Камисато Аяка,Kamisato Ayaka,
Kamisato Ayato,Kamisato Ayato,神里绫人,神里綾人,Камисато Аято,Kamisato Ayato,
Karmaphala Wood,Karmaphala Wood,业果木,業果木,Древесина кармафал,Karmaphala Wood,
Katheryne,Katheryne,凯瑟琳,凱瑟琳,Katheryne,Katheryne,
Katsuragikiri Nagamasa,Katsuragikiri Nagamasa,桂木斩长正,桂木斬長正,Кацурагикири Нагамаса,Katsuragikiri Nagamasa,
Kazuha,Kazuha,枫原万叶,楓原萬葉,Кадзуха,Kazuha,
Keep game time the same,Keep game time the same,保持游戏时间在一个固定时间，联机时仅自己可见,保持遊戲時間在一個固定時間,Держать время игры неизменным,Bekukan waktu di game,
Keqing,Keqing,刻晴,刻晴,Кэ Цин,Keqing,
Keqing_OpulentSplendor,Keqing: Opulent Splendor,刻晴：霓裾翩跹,刻晴：霓裾翩躚,Кэ Цин: Яркая лёгкость,Keqing: Opulent Splendor,
Key,Key,钥匙,鑰匙,Ключ,Kunci,
Key Sigil,Key Sigil,键纹,鍵紋,Знак-ключ,Key Sigil,
Key Sigil I,Key Sigil I,键纹 I,鍵紋 I,Знак-ключ I,Key Sigil I,
Key Sigil II,Key Sigil II,键纹 II,鍵紋 II,Знак-ключ II,Key Sigil II,
Key Sigil III,Key Sigil III,键纹 III,鍵紋 III,Знак-ключ III,Key Sigil III,
Key Sigil IV,Key Sigil IV,键纹 IV,鍵紋 IV,Знак-ключ IV,Key Sigil IV,
Key Sigil V,Key Sigil V,键纹 V,鍵紋 V,Знак-ключ ?,Key Sigil V,
Key of Khaj-Nisut,Key of Khaj-Nisut,圣显之钥,聖顯之鑰,Ключ Хадж-нисут,Key of Khaj-Nisut,Tiểu Đệ Kujirai
Key to exit the game.,Key to exit the game.,退出游戏的按键,退出遊戲的按鍵,Кнопка для моментального выхода из игры.,Tombol untuk keluar dari game dengan cepat.,Giết hào quang
Key to hold down before clicking on target location.,Key to hold down before clicking on target location.,传送前需要按住的键位,傳送前需要按住的鍵位,"Кнопка, которую нужно зажать перед нажатием левой кнопкой мыши на нужное место.",Tombol untuk ditahan sebelum klik ke lokasi target,Giết phạm vi
"Key to toggle main menu visibility. Cannot be empty.
If you forget this key, you can see or set it in your config file.","Key to toggle main menu visibility. Cannot be empty.
If you forget this key, you can see or set it in your config file.","开关Bkebi菜单的按键，不能为空。
如果你忘记了该热键，你可以在你的配置文件中看到或设置它。","開關Bkebi菜單的按鍵，不能為空。
如果你忘記了該熱鍵，你可以在你的配置文件中看到或設置它。","Кнопка для открытия меню чита. Поле кнопки не может быть пустым.
Если вы забыли, какую кнопку вы указали для открытия меню чита, вы можете её просмотреть в файле конфигурации config.ini в папке чита.","Tombol untuk menampilkan menu cit. Tidak bisa kosong.
Jika kamu melupakan tombolnya, lihat file konfigurasi.",
Kid Kujirai,Kid Kujirai,鲸井小弟,鯨井小弟,Малыш Кудзирай,Kid Kujirai,
Kill Aura,Kill Aura,杀戮光环,殺戮光環,Kill Aura,Aura Membunuh,Giết thời gian
Kill Range,Kill Range,杀戮范围,殺戮範圍,Радиус атак,Jarak Membunuh,Hào quang giết chóc
Kill aura causes crash damage for monster around you.,Kill aura causes crash damage for monster around you.,杀戮光环会对你周围的怪物造成坠落伤害,殺戮光環會對你周圍的怪物造成墜落傷害,Kill Aura наносит урон в падении вокруг вас.,Aura membunuh akan menyebabkan serangan crash pada monster disekitar avatar.,
Kill aura will attempt to instagib any valid target.,Kill aura will attempt to instagib any valid target.,杀戮光环将尝试作用任何有效目标,殺戮光環將嘗試作用任何有效目標,Kill Aura наносит мгновенный урон вокруг вас.,Aura membunuh akan membunuh semua target yang valid.,
Kill times,Kill times,击杀次数,擊殺次數,Количество ударов,Kill times,
KillAura,KillAura,杀戮光环,殺戮光環,Kill Aura,Aura Membunuh,
King's Squire,King's Squire,王下近侍,王下近侍,Приближённый короля,King's Squire,Kokomi
Kitain Cross Spear,Kitain Cross Spear,喜多院十文字,喜多院十文字,Крест-копьё Китаин,Kitain Cross Spear,Kujou Sara
Kitsune,Kitsune,狐狸,狐貍,Кицунэ,Kitsune,Kuki Shinobu
Klee,Klee,可莉,可莉,Кли,Klee,
Kokomi,Kokomi,珊瑚宫心海,珊瑚宮心海,Кокоми,Kokomi,
Kujou Sara,Kujou Sara,九条裟罗,九條裟羅,Сара,Kujou Sara,
Kuki Shinobu,Kuki Shinobu,久岐忍,久岐忍,Синобу,Kuki Shinobu,
LaSignora,LaSignora,女士,女士,Синьора,LaSignora,
LaSignora_CrimsonWitchOfEmbers,LaSignora_CrimsonWitchOfEmbers,焚尽的炽炎魔女,焚盡的熾炎魔女,Синьора: Тлеющая Алая Ведьма,LaSignora_CrimsonWitchOfEmbers,
Landmarks,Landmarks,地标,地標,Ориентиры,Landmarks,
Language,Language,语言,語言,Язык,Bahasa,
Lanuch the game with command line arguments,Lanuch the game with command line arguments,使用命令行参数运行游戏,使用命令列參數執行遊戲,Запускать игру с аргументами командной строки.,Jalankan game dengan argumen baris perintah,
Large Rock Pile,Large Rock Pile,大岩石,大碎石堆,Огромная куча камней,Large Rock Pile,
LargeAnemoSlime,LargeAnemoSlime,大型风史莱姆,大型風史萊姆,Большой Анемо слайм,LargeAnemoSlime,
LargeCryoSlime,LargeCryoSlime,大型冰史莱姆,大型冰史萊姆,Большой Крио слайм,LargeCryoSlime,
LargeDendroSlime,LargeDendroSlime,大型草史莱姆,大型草史萊姆,Большой Дендро слайм,LargeDendroSlime,
LargeElectroSlime,LargeElectroSlime,大型雷史莱姆,大型雷史萊姆,Большой Электро слайм,LargeElectroSlime,
LargeGeoSlime,LargeGeoSlime,大型岩史莱姆,大型岩史萊姆,Большой Гео слайм,LargeGeoSlime,
LargeHydroSlime,LargeHydroSlime,大型水史莱姆,大型水史萊姆,Большой Гидро слайм,LargeHydroSlime,
LargePyroSlime,LargePyroSlime,大型火史莱姆,大型火史萊姆,Большой Пиро слайм,LargePyroSlime,
Lavender Melon,Lavender Melon,堇瓜,堇瓜,Фиалковая дыня,Lavender Melon,
Layla,Layla,莱依拉,萊依拉,Лайла,Layla,
Lazurite Axe Marlin,Lazurite Axe Marlin,青金斧枪鱼,青金斧槍魚,Лазурная рыба-алебарда,Lazurite Axe Marlin,
Left,Left,左,左,Влево,Kiri,
Left HotKey,Left HotKey,向左热键,向左熱鍵,"Горячая клавиша ""Влево""",HotKey Kiri,
Let avatar attack the moster automaticlly. This may be safer than normal killaura.,Let avatar attack the moster automaticlly. This may be safer than normal killaura.,让角色自动攻击怪物。这可能比普通的杀戮光环更安全。,讓角色自動攻擊怪物。這可能比普通的杀戮光环更安全。,"Позволить персонажу атаковать самостоятельно. Безопаснее, чем Kill Aura.",Avatar akan menyerang monster secara otomatis. Mungkin lebih aman daripada menggunakan aura membunuh.,
Level,Level,等级,等級,Уровень,Level,
Level position: %s,Level position: %s,Level position: %s,Level position: %s,Позиция уровня: %s,Posisi level: %s,
Leyline,Leyline,地脉花,地脈花,Артерии,Leyline,
Light Up Tile Puzzle,Light Up Tile Puzzle,发光的地板解谜,發光的地板解謎,Плиты с подсветкой,Light Up Tile Puzzle,
Light of Foliar Incision,Light of Foliar Incision,裁叶萃光,裁葉萃光,Свет лиственного разреза,Light of Foliar Incision,
Light-Up Tile Puzzle,Light-Up Tile Puzzle,发光的地板解谜,發光的地板解謎,Плиты с подсветкой,Light-Up Tile Puzzle,
"Light-Up Tile Puzzle
","Light-Up Tile Puzzle
","发光拼图
","發光拼圖
","Плиты с подсветкой
","Light-Up Tile Puzzle
",
Lighting,Lighting,亮度(暂),亮度(暫)," Освещение",Pencahayaan,
Lightning,Lightning,闪电,閃電,Гроза,Petir,
Lightning Strike Probe,Lightning Strike Probe,雷霆探针,雷霆探針,Зонд для поиска молнии,Lightning Strike Probe,
"Lightning target enemy, works with RainHeavy weather.","Lightning target enemy, works with RainHeavy weather.",闪电目标设置为敌人，适用于雷暴天气。,閃電目標設置為敵人，適用於雷暴天氣。,Бьёт молнией текущего моба. Работает только при погоде 'Сильный дождь'.,"Petir menyambar musuh, hanya bekerja dengan cuaca Hujan Lebat",
"Limit framerate while the game window isn't focused.
This won't work if the cheat menu is open or if you're in a loading screen.","Limit framerate while the game window isn't focused.
This won't work if the cheat menu is open or if you're in a loading screen.","在游戏处于后台时限制帧率。
如果作弊菜单打开或处于加载屏幕中则无效。","在遊戲視窗未被選中時限制FPS。
如果作弊菜單打開或處於加載屏幕中則無效。","Ограничить FPS, пока окно игры свёрнуто.
Примечание: данная функция не работает на экране загрузки или при включённом меню чита.","Batasi FPS saat game tidak fokus.
Tidak bekerja saat menu cit terbuka atau sedang loading.",
Line,Line,线,线,Линия,Line,
Lion's Roar,Lion's Roar,匣里龙吟,匣里龍吟,Драконий рык,Lion's Roar,
Lisa,Lisa,丽莎,麗莎,Лиза,Lisa,
Lisa_ASobriquetUnderShade,Lisa: A Sobriquet Under Shade,丽莎：叶隐芳名,麗莎：葉隱芳名,Лиза: Инкогнито в тени листвы,Lisa: A Sobriquet Under Shade,
List of unity command line arguments,List of unity command line arguments,unity命令行参数列表,unity命令列參數列表,Список Unity-аргументов командной строки,Daftar argumen cmd unity,
Lithic Blade,Lithic Blade,千岩古剑,千岩古劍,Каменный меч,Lithic Blade,
Lithic Spear,Lithic Spear,千岩长枪,千岩長槍,Каменное копьё,Lithic Spear,
Living,Living,生物,生物,Живое,Living,
Liyue,Liyue,璃月,璃月,Ли Юэ,Liyue,
Liyue Shrine of Depths,Liyue Shrine of Depths,璃月地灵龛,璃月地靈龕,Усыпальница глубин Ли Юэ,Liyue Shrine of Depths,
Lizard Tail,Lizard Tail,蜥蜴尾巴,蜥蜴尾巴,Хвост ящерицы,Lizard Tail,
Loach Pearl,Loach Pearl,鳅鳅宝玉,鰍鰍寶玉,Жемчужина аксолотля,Loach Pearl,
Load from JSON,Load from JSON,从JSON中加载,從JSON中載入,Загрузить из .json,Muat dari JSON,
Local Specialties,Local Specialties,地方特产,地方特產,Местные диковинки,Local Specialties,
Locked,Locked,锁定,鎖定,Недоступно,Terkunci,
Logging,Logging,日志,日誌,Логирование,Logging,
Logs current active character's animation state.,Logs current active character's animation state.,记录当前前台角色的动画状态,記錄當前前台角色的動畫狀態,Логгирует анимации активного персонажа.,Log state animasi karakter saat ini.,
Look Sensitivity,Look Sensitivity,视角灵敏度,視角靈敏度,Чувствительность камеры,Sensitivitas,
Look Smoothing,Look Smoothing,视角平滑度,視角平滑度,Плавность камеры,Penghalus,
Loot Types,Loot Types,拾取类型,拾取類型,Объекты для подбора,Tipe Item,
Looting Speed,Looting Speed,拾取速度,拾取速度,Скорость подбора вещей,Kecepatan Ambil,
Looting delay fluctuation,Looting delay fluctuation,随机拾取延迟,隨機拾取延遲,Диапазон задержки подбора,Fluktuasi delay ambil,
Lost Prayer to the Sacred Winds,Lost Prayer to the Sacred Winds,四风原典,四風原典,Молитва святым ветрам,Lost Prayer to the Sacred Winds,
Lotus Head,Lotus Head,莲蓬,蓮蓬,Чашечка лотоса,Lotus Head,
Lower = Smoother,Lower = Smoother,越低越平滑,越低越平滑,Меньше = Плавнее,Rendah = Halus,
Lua Executor,Lua Executor,Lua执行器,Lua執行器,Запуск Lua,Executor Lua,
Lua File Path,Lua File Path,Lua文件路径,Lua檔案路徑,Путь файла Lua,Lokasi File Lua,
Lucklight Fly,Lucklight Fly,吉光虫,吉光蟲,Светлячок удачи,Lucklight Fly,
Lumen Cage,Lumen Cage,流明原石,流明原石,Светоносная клетка,Lumen Cage,
Lumenlamp,Lumenlamp,明石灯,明石燈,Светоносная лампа,Lumenlamp,
Lumenspar,Lumenspar,流明晶石,流明晶石,Светоносный кристалл,Lumenspar,
Luminescent Spine,Luminescent Spine,发光髓,發光髓,Светящееся брюшко,Luminescent Spine,
Luminous Seelie,Luminous Seelie,流明仙灵,流明仙靈,Светящаяся фея,Luminous Seelie,
Lunged Stickleback,Lunged Stickleback,肺棘鱼,肺棘魚,Двоякодышащая колюшка,Lunged Stickleback,
"Lupus Boreas, Dominator of Wolves","Lupus Boreas, Dominator of Wolves",北风的王狼、奔狼的领主,北風的王狼、奔狼的領主,Волчий лорд,"Lupus Boreas, Dominator of Wolves",
LupusBoreasDominatorOfWolves,LupusBoreasDominatorOfWolves,奔狼的领主 安德留斯,奔狼的領主 安德留斯,Волчий лорд,LupusBoreasDominatorOfWolves,
Luxurious,Luxurious,华丽,華麗,Роскошный,Luxurious,
Luxurious Chest,Luxurious Chest,华丽的宝箱,華麗的寶箱,Роскошный сундук,Luxurious Chest,
Luxurious Sea-Lord,Luxurious Sea-Lord,衔珠海皇,銜珠海皇,Благодатный владыка вод,Luxurious Sea-Lord,
MONSTERIDLINK,https://github.com/jie65535/GrasscutterCommandGenerator/blob/main/Source/GrasscutterTools/Resources/en-us/Monsters.txt,https://github.com/jie65535/GrasscutterCommandGenerator/blob/main/Source/GrasscutterTools/Resources/zh-cn/Monsters.txt,https://github.com/jie65535/GrasscutterCommandGenerator/blob/main/Source/GrasscutterTools/Resources/zh-tw/Monsters.txt,https://github.com/jie65535/GrasscutterCommandGenerator/blob/main/Source/GrasscutterTools/Resources/ru-ru/Monsters.txt,https://github.com/jie65535/GrasscutterCommandGenerator/blob/main/Source/GrasscutterTools/Resources/ru-ru/Monsters.txt,
MagatsuMitakeNarukamiNoMikoto,MagatsuMitakeNarukamiNoMikoto,祸津御建鸣神命,禍津禦建鳴神命,Магацу митакэ Наруками но микото,MagatsuMitakeNarukamiNoMikoto,
Magic Guide,Magic Guide,魔导绪论,魔導緒論,Руководство по магии,Magic Guide,
Magical Crystal Chunk,Magical Crystal Chunk,魔晶块,魔晶塊,Магическая кристалльная руда,Magical Crystal Chunk,
Magical Crystal Chunk Drop,Magical Crystal Chunk Drop,魔晶块掉落,魔晶塊掉落,Магическая кристалльная руда,Magical Crystal Chunk Drop,
Maguu Kenki,Maguu Kenki,魔偶剑鬼,魔偶劍鬼,Магу кэнки,Maguu Kenki,
Main contributors:,Main contributors:,主要贡献者：,主要貢獻者：,Разработчики:,Kontributor utama:,
Main developer and updater:,Main developer and updater:,主要开发者和更新者：,主要開發者和更新者：,Главный разработчик и апдейтер:,Developer utama dan updater:,
Make Character invisible,Make Character invisible,隐藏角色,隱藏角色,Сделать персонажа невидимым,Hilangkan Karakter,
Make every Hit is Critcal,Make every Hit is Critcal,让每次攻击都是暴击,讓每次攻擊都是暴擊,Make every Hit is Critcal,Jadikan setiap Hit adalah Critical,
Makhaira Aquamarine,Makhaira Aquamarine,玛海拉的水色,瑪海拉的水色,Аквамарин Махайры,Makhaira Aquamarine,
Manipulation,Manipulation,操纵(暂),操縱(暫),Управление,Manipulasi,
Manual,Manual,手动,手动,Ручное,Manual,
Manual Target Hotkey,Manual Target Hotkey,手动目标热键,手動目標熱鍵,Manual Target Hotkey,Tombol Target Manual,
Manual completing,Manual completing,手动完成,手動完成,Закрыть вручную,Penyelesaian manual,
Map Manager,Map Manager,地图管理器,地圖管理器,Управление картой,Manajer Map,
Map Teleport,Map Teleport,地图传送,地圖傳送,Телепорт по карте,Teleportasi Map,
Map name,Map name,地图名称,地圖名稱,Map name,Nama map,
Map scene id,Map scene id,地图场景id,地圖場景id,ID сцены карты,Scene id map,
Map teleport,Map teleport,地图传送,地圖傳送,Телепорт по карте,Teleportasi map,
MapTeleport,MapTeleport,地图传送,地圖傳送,Телепорт по карте,MapTeleport,
Maple Wood,Maple Wood,枫木,楓木,Клён,Maple Wood,
Mappa Mare,Mappa Mare,万国诸海图谱,萬國諸海圖譜,Морской атлас,Mappa Mare,
"Marked as Investigate/Search, etc.","Marked as Investigate/Search, etc.",标记为 调查/搜索 的点位等。,標記為 調查/搜索 的點位等。,Отмеченное как Исследовать,"Ditandai sebagai Investigasi/Cari, dll.",
Marrow Lizard,Marrow Lizard,嗜髓蜥,嗜髓蜥,Мозгоядный ящер,Marrow Lizard,
Masked Weasel,Masked Weasel,面具鼬,面具鼬,Хорёк в маске,Masked Weasel,
"Material, Mineral, Artifact.","Material, Mineral, Artifact.",材料、矿物、圣遗物。,材料、礦物、聖遺物。,"Материалы, минералы, артефакты.","Material, Mineral, Artefak.",
Materials,Materials,材料,材料,Материалы,Materials,
Matsutake,Matsutake,松茸,松茸,Мацутакэ,Matsutake,
Max Burst Energy,Max Burst Energy,满元素爆发能量,滿元素爆發能量,Максимальная энергия,Energi Burst Maks,
Max Delay Time (s),Max Delay Time (s),最大延迟（秒）,最大延遲（秒）,Максимальное время задержки (в сек),Waktu Delay Maks (s),
Max Level,Max Level,最大命座数,最大命座數,Максимальный уровень,Level Maksimum,
Max Level of the Constellation,Max Level of the Constellation,最大命座数,最大命座數,Максимальный уровень созвездия,Level Maksimum Konstelasi,
Max Multiplier,Max Multiplier,倍攻最大值,倍攻最大值,Максимальный множитель,Pengganda Max,
Max Zoom,Max Zoom,最大视距,最大變焦,Максимальное приближение,Zoom Maksimal,
MaxExp,MaxExp,最大经验值,最大經驗值,Максимальный опыт,Exp Maksimum,
Meat,Meat,兽肉,兽肉,Мясо,Meat,
Medaka,Medaka,花鳉,花鱂,Оризия,Medaka,
Melee weapons only.,Melee weapons only.,仅限近战,僅限近戰,Только оружия ближнего боя.,Hanya untuk senjata jarak dekat.,
Memory of Dust,Memory of Dust,尘世之锁,塵世之鎖,Память о пыли,Memory of Dust,
