,English,SimplifiedChinese,TraditionalChinese,Russian,Indonesian,Vietnamese
Prevent Screenshot,Prevent Screenshot,防止屏幕截图,防止螢幕截圖,Запретить скриншоты игры,Mencegah Screenshot,Ngăn chặn screenshot
New items detect supported,New items detect supported,支持新物品检测,支援新物品檢測,Поддержка обнаружения новых точек,Mendukung deteksi item baru,Hỗ trợ phát hiện vật phẩm mới
Gather detect supported,Gather detect supported,支持收集检测,支援收集檢測,Поддерживается обнаружение сбора точки,Mendukung deteksi pengambilan,Hỗ trợ phát hiện thu thập
Constantly apply an element to targets around you.,Constantly apply an element to targets around you.,不断将元素应用于您周围的目标。,不断将元素应用于您周围的目标。,Периодически применять статус элемента мобам вокруг тебя.,Menempelkan elemen ke target di sekitarmu.,Liên tục áp dụng một yếu tố cho các mục tiêu xung quanh bạn.
Change The Wings. Change character to apply.,Change The Wings. Change character to apply.,修改风之翼。需要切换角色生效。,修改风之翼。需要切换角色生效。,"Изменить крылья персонажа. Переключитесь на другого персонажа, чтобы применить на нём крылья.",Mengganti Wing Glider. Ganti karakter untuk menerapkan.,Thay đổi nguyên tố nhà lữ hành
Clear teleport record,Clear teleport record,清除传送记录,清除傳送記錄,Очистить телепорты,Menghapus riwayat teleport,Trời trong
Clear selected record,Clear selected record,清除所选记录,清除所选记录,Очистить выбранное,Menghapus riwayat terpilih,Xóa hồ sơ dịch chuyển
"Disable cooldown of bow charge.
Known issues with Fischl.","Disable cooldown of bow charge.
Known issues with Fischl.","删除弓箭蓄力所需要的时间。
目前 菲谢尔 存在bug。","刪除弓箭蓄力所需要的時間。
目前 菲謝爾 存在bug。","Убрать задержку заряженной атаки стрелкового оружия.
Есть проблемы с этой функцией у Фишль.","Menghilangkan cooldown pada charge bow.
Karakter Fischl memiliki isu.","Vô hiệu hóa thời gian hồi chiêu khi ngắm bắn tụ lực.
Fischl bị lỗi khi bật."
Removes delay in-between sprints.,Removes delay in-between sprints.,移除多次冲刺间的冷却时间,移除多次沖刺間的冷卻時間,Удаляет задержку между рывками.,Menghilangkan cooldown pada sprint.,Xoá delay khi spam chạy
"Calculate how many attacks are needed to kill an enemy based on their HP
and adjust the multiplier accordingly.
While this approach may be safer, keep in mind that the multiplier calculation may not be completely precise.","Calculate how many attacks are needed to kill an enemy based on their HP
and adjust the multiplier accordingly.
While this approach may be safer, keep in mind that the multiplier calculation may not be completely precise.","根据敌人 HP 计算杀死他们所需的攻击次数，
并相应地设置倍率。
可能更安全，但倍率计算可能不准确。","根據敵人 HP 計算殺死他們所需的攻擊次數，
並相應地設置倍率。
可能更安全，但倍率計算可能不準確。","Подсчитывает, сколько раз нужно атаковать противника пропорционально от их HP
и автоматически ставит нужный множитель.
Может быть безопаснее, но подсчёт множителя может быть не всегда точным.","Menghitung berapa banyak serangan yang dibutuhkan untuk melenyapkan musuh berdasarkan HP dan gunakan nilai tersebut sebagai pengganda.
Mungkin lebih aman, tapi perhitungan nilai pengganda tidak begitu akurat.","Tính toán số lần tấn công cần thiết để tiêu diệt kẻ thù dựa trên HP của chúng
và điều chỉnh thông số này cho phù hợp.
Mặc dù phương pháp này có thể an toàn hơn nhưng hãy nhớ rằng phép tính thông số này có thể không hoàn toàn chính xác."
Allow moving of 'FPS Indicator' window.,Allow moving of 'FPS Indicator' window.,允许移动帧率显示窗口,允許移動幀率顯示視窗,Возможность двигать окно 'Счётчик FPS'.,Mengizinkan pengubahan posisi jendela 'Indikator FPS'.,"Cho phép di chuyển cửa sổ ""FPS"""
Allow moving of 'Info' window.,Allow moving of 'Info' window.,允许移动信息窗口,允許移動信息視窗,Возможность двигать окно 'Info'.,Mengizinkan pengubahan posisi jendela 'Info'.,"Cho phép di chuyển cửa sổ ""Thông tin"""
Allow moving of 'Status' window.,Allow moving of 'Status' window.,允许移动状态窗口,允許移動狀態視窗,Возможность двигать окно 'Status'.,Mengizinkan pengubahan posisi jendela 'Status'.,"Cho phép di chuyển cửa sổ ""Trạng thái"""
Changes the exp visually.,Changes the exp visually.,修改显示的冒险阅历,修改顯示的冒險閱歷,Визуально меняет опыт (EXP).,Mengubah Adventure EXP secara visual.,Thay đổi cấp độ.
Changes active character's animation.,Changes active character's animation.,修改当前活动角色的动画,修改當前活動角色的動畫,Заменяет анимацию активного персонажа.,Mengubah animasi karakter.,Thay đổi cảm xúc của nhân vật hoạt động.
Changes the ExpBar visually.,Changes the ExpBar visually.,修改显示的冒险阅历经验条.,修改顯示的冒險閱歷經驗條.,Визуально меняет полоску опыта.,Mengubah bar Adventure EXP secara visual.,Thay đổi UID.
Set collider,Set collider,设置碰撞器,設置碰撞器,Установить столкновение,Mengubah collider,Set Collider
Changes active character's emotion.,Changes active character's emotion.,修改当前活动角色的表情,修改當前活動角色的表情,Заменяет эмоцию активного персонажа.,Mengubah ekspresi karakter.,"Thay đổi hình ảnh đại diện.
Lưu ý kích thước ảnh phải là: 256x256.
Đường dẫn ví dụ: C:\Avatars.png"
"Changes the Avatar Image visually.
Note the size of the picture must be: 256x256.
Example path: C:\Avatars.png","Changes the Avatar Image visually.
Note the size of the picture must be: 256x256.
Example path: C:\Avatars.png","视觉上改变角色头像。
图片大小必须是 256x256。
示例路径：C:\Avatars.png","視覺上改變角色頭像。
圖片大小必須是 256x256。
範例路徑：C:\Avatars.png","Заменяет изображение аватара в профиле.
Размер изображения должен быть ровно 256x256.
Пример пути к файлу: C:\Avatars.png","Mengubah Gambar Avatar secara visual.
Ukuran gambar harus: 256x256.
Contoh lokasi: C:\Avatar.png","Thay đổi Thẻ.
Lưu ý kích thước của hình phải là: 840x400.
Đường dẫn ví dụ: C:\Card.png"
"Changes the Card visually.
Note the size of the picture must be: 840x400.
Example path: C:\Card.png","Changes the Card visually.
Note the size of the picture must be: 840x400.
Example path: C:\Card.png","视觉上改变名片。
图片大小必须是 840x400。
示例路径： C:\Card.png","視覺上改變名片。
圖片大小必須是 840x400。
範例路徑： C:\Card.png","Заменяет именную карту в профиле.
Размер изображения должен быть ровно 840x400.
Пример пути к файлу: C:\Card.png","Mengubah Gambar Kartu Nama secara visual.
Ukuran gambar harus: 840x400.
Contoh lokasi: C:\Kartu.png",Thay đổi kinh nghiệm nhân vật.
Set AltSpeed HotKey,Set AltSpeed HotKey,设置变速热键,設置變速熱鍵,Назначить горячую клавишу альтернативной скорости,Mengubah Hotkey Kecepatan Alternatif,Chỉnh AltSpeed HotKey
Modifies pickup/open range to this value (in meters).,Modifies pickup/open range to this value (in meters).,修改 拾取范围/开箱范围。请修改该选项的数值(单位：米)。,修改 拾取範圍/開箱範圍。請修改該選項的數值(單位：米)。,Дальность поднятия предметов и открытия сундуков (в метрах).,Mengubah jarak ambil/buka menjadi nilai ini (dalam meter).,Chỉnh sửa pickup/open range thành giá trị (m)
Changes the world-level visually.,Changes the world-level visually.,修改显示的世界等级,修改顯示的世界等級,Визуально меняет уровень мира.,Mengubah Level Dunia secara visual.,Nhân Vật
Change the Constellation level.,Change the Constellation level.,修改命座数,修改命座數,Меняет уровень созвездия на персонаже.,Mengubah level konstelasi.,Thay đổi FoV dọc. FoV ngang phụ thuộc vào tỷ lệ khung hình của khung nhìn
"Modify monsters when it spawns, work after teleportation.
monster skills only work for HostPlayer.","Modify monsters when it spawns, work after teleportation.
monster skills only work for HostPlayer.","在怪物生成时修改怪物，传送后生效。
怪物技能只适用于HostPlayer。","在怪物生成時修改怪物，傳送後生效。 
怪物技能只適用於HostPlayer。","Заменить моба сразу после того, как он заспавнится. Моб может применять свои навыки только у хоста.","Mengubah monster saat muncul, diterapkan setelah teleportasi.
skill monster hanya berpengaruh pada Host.","Chỉnh sửa quái khi chúng spawn ra, kích hoạt sau khi tele. Các kỹ năng của quái chỉ hoạt động với HostPlayer."
Changes the nickname visually.,Changes the nickname visually.,修改显示的昵称,修改顯示的暱稱,Визуально меняет никнейм.,Mengubah Nickname secara visual.,Thay đổi cấp độ thế giới
Set a field of view value.,Set a field of view value.,设置视场大小值,視場大小值,Назначает значение поля зрения.,Mengubah nilai field of view.,Chỉnh giá trị FOV.
Set a fixed additional zoom value to the camera.,Set a fixed additional zoom value to the camera.,给相机设置一个固定的附加视距值,給相機設置一個固定的附加變焦值,Установить фиксированное значение приближения камеры.,Mengubah nilai tambahan pada zoom kamera.,Chỉnh những giá trị sửa lỗi zoom cho camera.
"Set the camera's zoom speed multiplier.
Note: Sensitive and can be buggy. Best left at 1.","Set the camera's zoom speed multiplier.
Note: Sensitive and can be buggy. Best left at 1.","设置相机的视距速度乘数。
注意：该数值很灵敏，可能会产生问题，最好设置为1。","設置相機的變焦速度乘數。
注意：該數值很靈敏，可能會產生問題，最好設置為1。","Установить множитель скорости приближения (или отдаления) камеры.
Заметка: Настройка чувствительности камеры может забаговаться. Лучше оставить значение около 1.","Mengubah pengganda kecepatan zoom kamera.
Catatan: Bersifat sensitif dan dapat menimbulkan bug. Sebaiknya diset ke 1.","Chỉnh tốc độ nhân lên của camera.
Note: Độ nhạy có thể bị bug. Nên để là 1."
"Do fix positions to nearest to point.
Only items with green line support this function.","Do fix positions to nearest to point.
Only items with green line support this function.","将位置固定到离点最近的位置。
只有带绿线的项目支持此功能。","將位置固定到離點最近的位置。
只有帶綠線的項目支持此功能。","Оставляет фиксированное положение точек.
Только предметы с зелёной линией возле названия поддерживают эту функцию.","Mengubah posisi ke poin terdekat.
Hanya item dengan garis hijau yang mendukung fitur ini.","Sửa những vị trí gần với điểm nhất.
Chỉ những vật phẩm với đường màu xanh lá mới hỗ trợ chức năng này."
Set UID position X,Set UID position X,设置UID X坐标,設置UID X坐標,Назначить позицию UID по оси X,Mengubah posisi X UID,Chỉnh vị trí X UID
Set UID position y,Set UID position y,设置UID Y坐标,設置UID Y坐標,Назначить позицию UID по оси y,Mengubah posisi y UID,Chỉnh Vị trí Y UID
Changes the level visually.,Changes the level visually.,修改显示的玩家等级,修改顯示的玩家等級,Визуально меняет ранг приключений.,Mengubah Rank Adventure secara visual.,Thay đổi tên biệt danh
Set the camera's minimum zoom radius ratio.,Set the camera's minimum zoom radius ratio.,设置相机的最小视距半径比,設置相機的最小變焦半徑比,Установите минимальное значение радиуса масштабирования камеры.,Mengubah rasio minimum zoom kamera.,Chỉnh zoom minimum của camera.
"Allows you to customize the element type of damage.
This may not work for some characters. 
(If you want to completely close this function, you need to reload the scene, e.g. entering the dungeon or re-entering the game)","Allows you to customize the element type of damage.
This may not work for some characters. 
(If you want to completely close this function, you need to reload the scene, e.g. entering the dungeon or re-entering the game)","使你可以修改伤害的元素类型
 有些角色可能没用
 （如果要彻底关闭这个功能，你需要重新加载场景，比如重进游戏或者进副本）","使你可以修改傷害的元素類型
有些角色可能沒用
（如果要徹底關閉這個功能，請重新加载场景，例如重新進入游戲）","Позволяет заменить элемент атаки.
Данная функция может не работать на определённых персонажах.
(Если после отключения этой функции ваш элемент атаки не изменился, вам необходимо перезапустить сцену, например,
зайдя в подземелье или перезапустив игру полностью.","Mengubah tipe elemen serangan.
Mungkin tidak bekerja untuk beberapa karakter. 
(Muat ulang scene untuk benar-benar menonaktifkan fitur ini, cth. masuk ke domain atau relog akun)","Cho phép bạn tùy chỉnh loại thông số thiệt hại.
Điều này có thể không hoạt động đối với một số ký tự.
(Nếu bạn muốn đóng hoàn toàn chức năng này, bạn cần tải lại cảnh, ví dụ: vào ngục tối hoặc vào lại trò chơi)"
Set accounts' name showing type.,Set accounts' name showing type.,设置账号名显示类型,設置帳號名顯示類型,"Назначает тип отображения имени аккаунта. ",Mengubah tipe tampilan nama akun.,Chỉnh tên tài khoản hiển thị loại.
Set Right Key,Set Right Key,设置向右按键,設置向右按鍵,"Назначить горячую клавишу ""Вправо""",Mengubah Tombol Kanan,Chỉnh phím phải
Set Left Key,Set Left Key,设置向左按键,設置向左按鍵,"Назначить горячую клавишу ""Влево""",Mengubah Tombol Kiri,Chỉnh phím trái
Set Forward Key,Set Forward Key,设置向前按键,設置向前按鍵,"Назначить горячую клавишу ""Вперёд""",Mengubah Tombol Maju,Chỉnh phím tới
Set Back Key,Set Back Key,设置向后按键,設置向後按鍵,"Назначить горячую клавишу ""Назад""",Mengubah Tombol Mundur,Chỉnh phím lui
Set Ascend Key,Set Ascend Key,设置上升按键,設置上升按鍵,Назначить горячую клавишу взлёта,Mengubah Tombol Naik,Chỉnh phím lên
Set Descend Key,Set Descend Key,设置降低按键,設置降低按鍵,Назначить горячую клавишу спуска,Mengubah Tombol Turun,Chỉnh phím xuống
Changes the UID visually.,Changes the UID visually.,修改显示的UID,修改顯示的UID,Визуально меняет UID.,Mengubah UID secara visual.,Thay đổi điểm kinh nghiệm.
Set UID size,Set UID size,设置UID字体大小,設置UID字體大小,"Размер UID ",Mengubah ukuran UID,Chỉnh kích cỡ UID
Changes Vertical FoV. Horizontal FoV depends on the viewport's aspect ratio,Changes Vertical FoV. Horizontal FoV depends on the viewport's aspect ratio,更改垂直FOV，水平FOV取决于视口的纵横比。,更改垂直FOV，水平FOV取決於視窗的縱橫比。,Заменяет вертикальное поле зрения. Горизонтальное поле зрения зависит от соотношения сторон вашего монитора.,Mengubah Vertical FoV. Horizontal FoV tergantung pada rasio aspek viewport,Thay đổi hoạt ảnh của nhân vật đang hoạt động.
Reduce Skill/Burst Cooldown,Reduce Skill/Burst Cooldown,减少 战技/爆发 冷却时间,減少 戰技/爆發 冷卻時間,Уменьшить время перезарядки элементального навыка и взрыва стихий,Mengurangi Cooldown Skill dan Burst,Giảm Thời gian hồi chiêu/nộ
"Reduce cooldowns of elemental skills and bursts.
1.0 - no CD, 2.0 and higher - increases the timer value.","Reduce cooldowns of elemental skills and bursts.
1.0 - no CD, 2.0 and higher - increases the timer value.","减少元素战技/元素爆发的冷却时间。
1.0: 无冷却
1.0以上: 冷却时间为数值-1。","減少元素戰技/元素爆發的冷卻時間。
1.0: 無冷卻
1.0以上: 冷卻時間為數值-1。","Уменьшает время перезарядки перед использованием элементального навыка и взрыва стихий до указанного вами значения.
1.0 - мгновенная перезарядка.","Mengurangi cooldown skill dan burst.
1.0 = tanpa CD, diatas 2.0 = CD bertambah.","Giảm thời gian hồi kỹ năng nguyên tố và kỹ năng nộ.
1.0 - không CD, 2.0 Và lớn hơn - tăng giá trị thời gian."
"Reduce the delay if the distance < 50m
eg: 0.75 means 0.75 * 20(your delay setting) = 15s delay if the distance < 50m","Reduce the delay if the distance < 50m
eg: 0.75 means 0.75 * 20(your delay setting) = 15s delay if the distance < 50m","如果距离 < 50m 则减少延迟
例如：如果距离 < 50m，则 0.75 表示 0.75 * 20（您的延迟设置）= 15s 延迟","如果距離 < 50m 則減少延遲
例如：如果距離 < 50m，則 0.75 表示 0.75 * 20（您的延遲設置）= 15s 延遲","Reduce the delay if the distance < 50m
eg: 0.75 means 0.75 * 20(your delay setting) = 15s delay if the distance < 50m","Mengurangi delay jika jarak < 50m
cth: 0.75 artinya 0.75 * 20(setingan delay) = delay 15s jika jarak < 50m","Giảm thời gian delay nếu khoảng cách < 50m
ví dụ: 0.75 có nghĩa là 0.75 x 20(số setting của bạn) = 15s delay nếu khoảng cách < 50m"
"Removes energy requirement for elemental bursts.
(Energy bubble may appear incomplete but still usable.)","Removes energy requirement for elemental bursts.
(Energy bubble may appear incomplete but still usable.)",元素爆发不再需要充满能量(技能图标看起来是未充满但仍然可以使用),元素爆發不再需要充滿能量(技能圖標看起來是未充滿但仍然可以使用),Убирает необходимость заряжать энергией взрыв стихии.,"Meniadakan kebutuhan energi untuk elemental burst.
(Bola energi akan tampil tidak penuh tapi bisa digunakan.)","Xoá năng lượng cần thiết cho kỹ năng nộ.
(Bong bóng có thể xuất hiện là chưa đầy nhưng vẫn xài được.)"
Boost the player's jumping ability.,Boost the player's jumping ability.,提高玩家的跳跃能力。,提高玩家的跳躍能力。,Boost the player's jumping ability.,Meningkatkan kemampuan melompat pemain.,Tăng khả năng nhảy của người chơi.
Paimon Menu,Paimon Menu,派蒙菜单,派蒙選單,Paimon Menu,Menu Paimon,Menu Paimon
Show a visual indicator to the nearest entity.,Show a visual indicator to the nearest entity.,向最近的实体显示一个可视的指示器。,向最近的實體顯示一個可視的指示器。,Show a visual indicator to the nearest entity.,Menunjukkan indikator visual ke entitas terdekat.,Show chỉ số hiệu ứng đến thực thể gần nhất.
Close mhyprot2 handle (changes will take effect after relaunch).,Close mhyprot2 handle (changes will take effect after relaunch).,关闭 mhyprot2 句柄(更改将在重新启动后生效),關閉 mhyprot2 Handle(更改將在重新啟動後生效),Закрыть процесс mhyprot2. Изменения будут применены после перезапуска.,Menutup handle mhyprot2 (akan diterapkan setelah menjalankan ulang game).,Nhiều mây
MenuUnlocker,MenuUnlocker,菜单解锁器,選單解鎖器,MenuUnlocker,MenuUnlocker,Mở khoá Menu
"Auto resolve some daily commission such as clean stain, fallen leaves and etc.","Auto resolve some daily commission such as clean stain, fallen leaves and etc.",自动解决一些每日委托，如清洁污渍、落叶等。,自動解決一些每日委託，如清潔污漬、落葉等。,"Auto resolve some daily commission such as clean stain, fallen leaves and etc.","Menyelesaikan daily commission seperti clean stain, fallen leaves, dll.","Tự động giải quyết một số nhiệm vụ hàng ngày như làm sạch vết bẩn, lá rụng, v.v."
Automatically attack trees in range.,Automatically attack trees in range.,自动攻击范围内的树木,自動攻擊範圍內的樹木,Автоматически собирает дерево в радиусе.,Menyerang pohon dalam area secara otomatis.,Tự động tương tác với cây trong phạm vi.
Merchant,Merchant,商人,商人,Торговец,Merchant,Thương gia
Messenger,Messenger,信使,信使,Посыльный,Messenger,Tin nhắn
Mika,Mika,米卡,米卡,Мика,Mika,Mika
Millelith,Millelith,千岩军,千岩軍,Миллелит,Millelith,Thiên Nham
Mineral,Mineral,矿物,礦物,Минерал,Mineral,Tinh thể
Mini Puzzle,Mini Puzzle,迷你拼图,迷你拼圖,Мини-пазл,Mini Puzzle,Câu đố mini
Minimum health (in %) required before god mode takes effect.,Minimum health (in %) required before god mode takes effect.,无敌模式生效所需的最低百分比生命值,無敵模式生效所需的最低百分比生命值,"Предел здоровья (в %), при достижении которого автоматически включается бессмертие.",Minimum HP (dalam %) yang diperlukan supaya Mode Kebal mulai aktif.,Lượng máu ít nhất (theo %) được yêu cầu trước khi godmode kích hoạt.
Mint,Mint,薄荷,薄荷,Мята,Mint,Bạc hà
Missive Windspear,Missive Windspear,风信之锋,風信之鋒,Копьё послания ветров,Missive Windspear,Mũi nhọn của gió
Mist Bubble,Mist Bubble,神秘的气泡,神秘的氣泡,Туманный пузырь,Mist Bubble,Bong bóng
Mist Flower Corolla,Mist Flower Corolla,冰雾花,冰霧花,Венчик туманного цветка,Mist Flower Corolla,Đoá băng vụ hoa
Mistsplitter Reforged,Mistsplitter Reforged,雾切之回光,霧切之回光,Рассекающий туман,Mistsplitter Reforged,Ánh sáng đêm sương mù
Mitachurl,Mitachurl,丘丘暴徒,丘丘暴徒,Митачурл,Mitachurl,Bạo đồ Hilichurl
Mitternachts Waltz,Mitternachts Waltz,幽夜华尔兹,幽夜華爾茲,Вальс Нирваны Ночи,Mitternachts Waltz,Điệu vang ban đêm
MobVacuum,MobVacuum,生物吸附,生物吸附,Притягивание мобов,MobVacuum,Máy hút Sinh Vật
"This mode prevents sending server packets with stamina cost actions,
e.g. swim, climb, sprint, etc.
NOTE: This is may be more safe than the standard method. More testing is needed.","This mode prevents sending server packets with stamina cost actions,
e.g. swim, climb, sprint, etc.
NOTE: This is may be more safe than the standard method. More testing is needed.","此模式可拦截包含体力消耗动作的服务器数据包，
如：游泳、攀爬、冲刺。
注意：这可能比标准方法更安全，需要更多测试。","此模式可攔截包含體力消耗動作的伺服器封包，
如：遊泳、攀爬、沖刺。
注意：這可能比標準方法更安全，需要更多測試。","Этот режим предотвращает отправку пакетов про трату энергии на сервер,
например: плавание, карабкание, бег, и т.д.
Примечание: это может быть безопаснее, чем НЕ использовать этот режим. Требуется больше тестирований.","Mode ini menghalangi server untuk mengirim packet terhadap pengurangan stamina,
cth. berenang, memanjat, berlari, dll.
CATATAN: Mungkin metode ini lebih aman dari yang biasa. Diperlukan pengujian lebih lanjut.","Chế độ này ngăn chặn gửi packet đến máy chủ với các hoạt động 
ví dụ như. bơi, leo núi, chạy, vân vân.
NOTE: Khi sử dụng chức năng này, trong multiplayer sẽ rất là sus vì những người khác khi thấy bạn đang di giữa không trung trong khi bạn đang bay bằng cánh. Tuy nhiên thì nó an toàn hơn."
God Mode,God Mode,无敌模式,無敵模式,Бессмертие,Mode Kebal,God Mode
Instant Death Mode,Instant Death Mode,即死模式,即死模式,Режим Instant Death,Mode Mati Mendadak,Chết ngay lập tức
Instant death mode,Instant death mode,即死模式,即死模式,Режим Instant Death,Mode mati mendadak,Chết ngay lập tức
One-Punch Mode,One-Punch Mode,秒杀模式,秒殺模式,Одноударный режим,Mode One-Punch,Chế độ Đấm Phát Chết Luôn
Velocity Mode,Velocity Mode,加速度模式(暂),加速度模式(暫),Режим скорости,Mode Percepatan,Chế độ vận tốc
Velocity mode,Velocity mode,加速度模式(暂),加速度模式(暫),Режим скорости,Mode percepatan,Chế độ vận tốc
Percent mode,Percent mode,百分比模式,百分比模式,Режим урона в процентах,Mode persentase,Chế độ phần trăm
Damage mode,Damage mode,伤害模式,傷害模式,Тип урона,Mode serangan,Chế độ thiệt hại
Crash Damage Mode,Crash Damage Mode,坠落伤害模式,墜落傷害模式,Режим удара в падении,Mode Serangan Crash,Độ trễ lặp lại sự cố (ms)
Percent damage mode,Percent damage mode,百分比伤害模式,百分比傷害模式,Режим урона в процентах,Mode serangan persentase,Chế độ DMG phần trăm
Freeflight Mode,Freeflight Mode,自由飞行模式,自由飛行模式,Режим свободного полета,Mode Terbang Bebas,Chế độ bay tự do
Freeflight mode,Freeflight mode,自由飞行模式,自由飛行模式,Режим свободного полёта,Mode Terbang Bebas,Chế độ bay tự do
Tracer Mode,Tracer Mode,追踪模式,追蹤模式,Режим указания,Mode Tracer,Chế độ Tracer
Mona,Mona,莫娜,莫娜,Мона,Mona,Mona
Mona_PactOfStarsandMoon,Mona: Pact of Starsand Moon,莫娜：星与月之约,莫娜：星與月之約,Мона: Встреча звёзд и луны,Mona: Pact of Starsand Moon,Mona: Ước hẹn trăng sao
Mondstadt Shrine of Depths,Mondstadt Shrine of Depths,蒙德地灵龛,蒙德地靈龕,Усыпальница глубин Мондштадта,Mondstadt Shrine of Depths,Đền địa linh của Mondstadt
Monster,Monster,怪物,怪物,Монстр,Monster,Quái vật
Monster ID,Monster ID,怪物 ID,怪物 ID,ID моба,Monster ID,ID Quái
MonsterChanger,MonsterChanger,怪物替换,怪物替換,Заменитель мобов,MonsterChanger,Trình thay đổi Quái
MonsterId,MonsterId,怪物ID,怪物ID,ID моба,MonsterId,ID Quái Vật
Custom MonsterId,Custom MonsterId,自定义怪物ID,自定义怪物ID,Ручной ввод MonsterId,MonsterId Kustom,Quái tuỳ chỉnh
Monsters,Monsters,怪物,怪物,Монстры,Monsters,Các Quái Vật
Moonpiercer,Moonpiercer,贯月矢,貫月矢,Пронзающий луну,Moonpiercer,Quân Nguyệt Thương
Mora,Mora,摩拉,摩拉,Мора,Mora,Mora
"Mora/XP, overworld/Trounce bosses, etc.","Mora/XP, overworld/Trounce bosses, etc.",摩拉/经验、主世界/周本boss等,摩拉/經驗、主世界/周本boss等,"Цветы озарения, цветы богатства, награды с боссов, и т.д.","Mora/XP, overworld/bos Trounce, dll.","Mora/XP, Thế giới/Boss thủ lĩnh, vân vân."
Mountain Date Wood,Mountain Date Wood,刺葵木,刺葵木,Финиковая пальма,Mountain Date Wood,Gỗ Chà Là
Mouun's Moon,Mouun's Moon,曚云之月,曚雲之月,Луна Моун,Mouun's Moon,Ánh Trăng Mouun
Load from JSON,Load from JSON,从JSON中加载,從JSON中載入,Загрузить из .json,Muat dari JSON,Tải từ JSON
Reload,Reload,重新加载,重新加載,Перезагрузить,Muat Ulang,Tải lại
Reload files,Reload files,重新加载文件,重新加載檔案,Перезагрузить файлы,Muat ulang file,Tải lại files
Mud Frog,Mud Frog,泥蛙,泥蛙,Грязевая лягушка,Mud Frog,Ếch nước
Multi-Animation,Multi-Animation,多重动画,多重動畫,Мульти-анимация,Multi-Animation,Đa Hoạt Ảnh
Multi-Hit,Multi-Hit,倍攻,倍攻,Мульти-хит,Multi-Hit,Multi-Hit
Multi-Hit [OnePunch],Multi-Hit [OnePunch],倍攻 [一拳模式],倍攻 [一拳模式],Одноударный мульти-хит,Multi-Hit [OnePunch],Multi-Hit [Đấm Phát Chết Luôn]
Multi-Hit Mode,Multi-Hit Mode,倍攻模式,倍攻模式,Режим мульти-хита,Multi-Hit Mode,Chế Độ Multi-Hit
Multi-Hit Random,Multi-Hit Random,随机倍攻,隨機倍攻,Рандомный мульти-хит,Multi-Hit Random,Multi-Hit Ngẫu Nhiên
Multi-Target,Multi-Target,普攻范围,多目標攻擊,Мульти-цель,Multi-Target,Đa Mục Tiêu
Backward,Backward,后,後,Назад,Mundur,Phía sau
Mushroom,Mushroom,蘑菇,蘑菇,Гриб,Mushroom,Nấm
Enemies,Enemies,敌人,敵人,Враги,Musuh,Kẻ địch
Enemies (Boss),Enemies (Boss),敌人 (Boss),敵人 (Boss),Враги (Боссы),Musuh (Bos),Kẻ địch (Boss)
Enemies (Common),Enemies (Common),敌人 (普通),敵人 (普通),Враги (Обычные),Musuh (Common),Kẻ địch (Quái thường)
Enemies (Easter Egg),Enemies (Easter Egg),敌人 (彩蛋),敵人 (彩蛋),Враги (Секретные),Musuh (Easter Egg),Kẻ địch (Easter Egg)
Enemies (Elite),Enemies (Elite),敌人 (精英),敵人 (精英),Враги (Элитные),Musuh (Elite),Kẻ địch (Quái Tinh Anh)
Enemies (First-Time Victory),Enemies (First-Time Victory),敌人 (初胜),敵人 (初勝),Враги (Ранее не тронутые),Musuh (First-Time Victory),Kẻ địch (Chiến thắng lần đầu tiên)
World and Trounce boss enemies.,World and Trounce boss enemies.,世界boss和周本boss,世界boss和周本boss,Мировые боссы и боссы для возвышения.,Musuh bos Dunia dan Trounce,Thế giới và Vượt qua các kẻ địch dạng Boss
Common enemies.,Common enemies.,普通级的敌人,普通級的敵人,Обычные монстры.,Musuh Common.,Kẻ thù chung.
Elite enemies.,Elite enemies.,精英级的敌人,精英級的敵人,Притягивать элитных врагов.,Musuh Elite.,Quái Tinh Anh.
"Enemies don't attack or use abilities against player. 
May not work with some enemies or enemy abilities.","Enemies don't attack or use abilities against player. 
May not work with some enemies or enemy abilities.","敌人对玩家攻击或者使用技能。
也许对某些敌人不会生效。","敵人對玩家攻擊或者使用技能。
也許對某些敵人不會生效。","Враги не атакуют и не используют способности против игрока. 
Может не работать с некоторыми врагами или их некоторыми способностями.","Musuh tidak menyerang atau menggunakan skill ke pemain. 
Mungkin tidak bekerja untuk beberapa musuh.","Kẻ địch không tấn công hoặc sử dụng chiêu thức chống lại người chơi.
Có thể không hoạt động với một số kẻ địch hoặc chiêu thức của kẻ địch."
Dumb Enemies,Dumb Enemies,敌人变傻,敵人變傻,Отключить ИИ агрессивным мобам,Musuh Tolol,Vô hiệu hoá kẻ địch
MutantElectroSlime,MutantElectroSlime,变异雷史莱姆,變異雷史萊姆,Электро слайм-мутант,MutantElectroSlime,Slime lôi Lớn
Mysterious Carvings,Mysterious Carvings,神秘的刻像,神秘的刻像,Таинственные изваяния,Mysterious Carvings,Quạ thần bí
Mysterious Meat,Mysterious Meat,神秘的肉,神秘的肉,Загадочное мясо,Mysterious Meat,Thịt thần bí
Mysterious Stone Slate,Mysterious Stone Slate,神秘的石板,神秘的石板,Таинственная каменная табличка,Mysterious Stone Slate,Phiến đá thần bí
Nada,Nada,「正机之神1」,「正機之神1」,Нада,Nada,Nada
Nada_2,Nada_2,「七叶寂照秘密主」,「七葉寂照秘密主」,Нада_2,Nada_2,Nada_2
